,params_0,params_1
count,10.0,10.0
mean,-9.265063533404857e-47,-5.856574228621495e-47
std,2.9298703431726886e-46,1.8520113848287612e-46
min,-9.265063533404856e-46,-5.856574228621495e-46
25%,1.4072519954145437e-162,-3.493523718625617e-132
50%,1.4072519954145437e-162,7.662075730730805e-163
75%,1.4072519954145437e-162,7.662075730730805e-163
max,2.163728810578421e-90,7.662075730730805e-163
